,pitch,instrument_family,instrument_source,NaiveFFT,ZeroX,PersistFFT1,PersistFFT2,PSHC,fft_mean,max_fft_amp,freq_at_max_fft_amp,peak_0_freq,peak_0_persistence,peak_1_freq,peak_1_persistence,peak_2_freq,peak_2_persistence,peak_3_freq,peak_3_persistence,peak_4_freq,peak_4_persistence,peak_5_freq,peak_5_persistence,peak_6_freq,peak_6_persistence,peak_7_freq,peak_7_persistence,peak_8_freq,peak_8_persistence,peak_9_freq,peak_9_persistence,peak_10_freq,peak_10_persistence,peak_11_freq,peak_11_persistence,peak_12_freq,peak_12_persistence,peak_13_freq,peak_13_persistence,peak_14_freq,peak_14_persistence,peak_15_freq,peak_15_persistence,peak_16_freq,peak_16_persistence,peak_17_freq,peak_17_persistence,peak_18_freq,peak_18_persistence,peak_19_freq,peak_19_persistence,peak_20_freq,peak_20_persistence,peak_21_freq,peak_21_persistence,peak_22_freq,peak_22_persistence,peak_23_freq,peak_23_persistence,peak_24_freq,peak_24_persistence,peak_25_freq,peak_25_persistence,peak_26_freq,peak_26_persistence,peak_27_freq,peak_27_persistence,peak_28_freq,peak_28_persistence,peak_29_freq,peak_29_persistence,peak_30_freq,peak_30_persistence,peak_31_freq,peak_31_persistence,peak_32_freq,peak_32_persistence,peak_33_freq,peak_33_persistence,peak_34_freq,peak_34_persistence,peak_35_freq,peak_35_persistence,peak_36_freq,peak_36_persistence,peak_37_freq,peak_37_persistence,peak_38_freq,peak_38_persistence,peak_39_freq,peak_39_persistence,peak_40_freq,peak_40_persistence,peak_41_freq,peak_41_persistence,peak_42_freq,peak_42_persistence,peak_43_freq,peak_43_persistence,peak_44_freq,peak_44_persistence,peak_45_freq,peak_45_persistence,peak_46_freq,peak_46_persistence,peak_47_freq,peak_47_persistence,peak_48_freq,peak_48_persistence,peak_49_freq,peak_49_persistence
keyboard_electronic_001-025-100,25.0,4.0,1.0,44.0,65.0,37.0,85.0,56.0,95679.1953125,54699152.0,103.0,34.25,981849.48,68.5,24383500.48,85.5,1501281.355,103.0,54152160.48,137.75,19634818.48,172.25,32053560.48,206.75,4959874.98,241.75,9881943.48,276.75,922971.48,312.0,3626668.23,347.25,9714909.48,383.0,22180756.48,416.75,472516.4175,418.5,17371500.48,454.5,8392522.48,491.25,3711198.48,527.5,5690762.98,564.0,2783580.98,638.5,1387670.48,676.0,11286538.48,713.75,8269892.48,751.5,3357524.73,752.25,12831023.48,790.75,10333874.48,828.75,720523.98,829.75,6253565.48,869.0,2721027.98,948.0,1555757.23,987.25,1336192.355,1027.5,527745.355,1028.75,8374904.48,1070.5,5719215.98,1111.25,6253174.98,1150.75,934995.605,1152.75,8749802.48,1195.0,4097000.48,1237.5,478592.605,1320.5,736836.23,1323.75,639680.855,1367.5,1592589.73,1411.75,1009679.23,1456.5,1653426.23,1501.75,787258.23,1547.25,1508710.105,1596.0,1003180.98,1621.25,1069242.605,1784.5,576323.23,1933.25,767507.605,2141.25,481691.105,3192.75,701928.48
guitar_acoustic_021-064-127,64.0,3.0,0.0,64.0,61.0,64.0,64.0,64.0,128207.6015625,52947936.0,328.0,41.5,265678.765,328.0,52418456.64,655.5,1001965.64,656.5,14335501.64,985.0,4050596.64,1297.0,32572.452500000014,1311.75,720882.39,1313.5,5200903.64,1640.0,369238.39,1641.5,6071522.14,1970.0,547210.765,2295.5,126684.70250000001,2298.75,1272134.7650000001,2627.0,60924.390000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard_electronic_003-053-050,53.0,4.0,1.0,53.0,57.0,52.0,53.0,53.0,67035.265625,184529488.0,174.5,165.25,167051.24499999988,169.25,32629825.12,174.5,182684193.12,180.0,32320469.12,184.75,72852.86999999988,344.0,1344259.1199999999,349.25,16268567.12,354.5,1376902.3699999999,523.75,4146024.12,698.5,287085.3699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard_electronic_002-082-100,82.0,4.0,1.0,82.0,76.0,82.0,82.0,82.0,143663.796875,29537876.0,933.0,933.0,29242497.24,1311.75,131802.24,1865.75,17182169.24,2415.25,32203.86499999999,2798.75,10608243.24,3181.75,32586.08374999999,3348.75,21295.67749999999,3729.75,1330915.24,4664.75,2834459.99,5597.5,218959.33375,6530.5,410838.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard_electronic_002-021-100,21.0,4.0,1.0,33.0,36.0,21.0,21.0,21.0,228838.671875,138120320.0,55.0,27.5,10874777.8,28.75,2521035.55,52.0,3228431.3,52.75,3834734.8,53.75,8492669.8,55.0,136739116.8,55.5,9565532.8,56.5,3673673.3,81.0,2708473.05,81.75,4640985.8,82.5,32410416.8,83.75,4606243.3,107.0,3274279.3,108.0,7013325.8,109.0,4430412.8,110.0,116069828.8,110.75,7963114.8,111.5,4672835.8,136.0,2697219.3,137.25,43639600.8,138.0,7741650.8,162.25,3235347.3,163.25,2665893.3,164.25,8239089.8,164.75,108651124.8,165.75,5616569.8,167.75,2339417.3,190.5,2860940.8,191.25,5425418.3,192.25,52503744.8,193.0,4389074.8,219.75,85103500.8,246.25,3086583.3,247.25,51443928.8,274.75,55088900.8,301.5,7348390.8,302.25,44145336.8,329.75,29634162.8,357.0,33460784.8,384.5,18605988.8,412.0,28473054.8,439.5,9163473.8,467.0,22006160.8,494.25,4270824.8,522.0,16051494.8,577.0,10801928.8,631.75,7831856.8,686.75,5322970.8,714.25,2367402.55,741.75,3217574.8
guitar_acoustic_010-036-100,36.0,3.0,0.0,48.0,53.0,36.0,36.0,36.0,84047.5859375,67203928.0,130.5,34.25,365078.7825,43.25,176711.96999999997,44.25,220835.84499999997,46.25,250440.78249999997,47.5,241216.84499999997,48.5,203458.59499999997,54.25,294051.1575,55.25,452863.97,56.5,549600.345,57.5,630365.72,58.5,664317.47,59.5,715159.47,65.25,24750356.72,68.0,646269.345,69.0,720911.22,70.0,252545.21999999997,76.0,345405.47,77.0,311358.9075,78.0,258148.96999999997,79.0,200757.96999999997,80.0,146836.09499999997,102.75,154645.59499999997,103.75,199796.90749999997,104.75,230484.28249999997,105.75,237188.28249999997,123.5,544323.47,124.5,658888.22,125.75,462999.47,126.75,512160.72,130.5,66531888.72,134.25,146690.21999999997,135.5,278400.72,136.5,269336.72,137.5,192671.96999999997,195.5,57299880.72,260.75,22659970.72,326.0,2980579.4699999997,391.25,220053.09499999997,521.75,5433548.22,586.75,10806328.72,652.0,3747775.2199999997,782.5,597097.22,847.75,3918286.7199999997,978.0,274567.595,1173.75,859805.97,1239.0,1610282.47,1304.25,1445548.72,1565.0,455737.97,1630.25,773603.97,1695.5,469393.97
keyboard_electronic_098-067-075,67.0,4.0,1.0,67.0,65.0,67.0,67.0,67.0,93595.640625,73350968.0,392.25,392.25,72617458.32,408.75,4580.819999999949,624.75,474734.69499999995,784.5,45841934.32,1176.75,11290945.32,1569.0,69220.81999999995,1961.25,253615.38249999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass_synthetic_098-069-100,69.0,0.0,2.0,69.0,26.0,23.0,69.0,69.0,157428.90625,31637224.0,437.75,26.75,991809.26,29.0,419847.6975,29.75,947565.135,30.5,2130632.76,31.75,1510066.385,33.75,2188921.26,34.75,1140616.01,36.5,585850.1975,37.25,357483.635,37.75,1123287.635,40.25,743503.51,42.5,1551638.885,44.0,612300.76,45.5,1374166.01,47.25,680725.885,48.75,1194376.135,51.0,390660.635,52.25,600561.5725,55.25,616843.6975,58.25,437860.1975,60.75,472290.385,65.75,552697.5725,69.0,394825.51,72.75,468184.9475,75.25,441577.4475,80.0,314383.0725,84.0,377721.9475,94.0,390533.3225,124.0,491544.3225,143.0,470014.9475,149.25,400110.1975,160.25,425760.0725,169.75,452271.3225,233.0,403383.385,270.0,389430.4475,305.5,340970.26,320.25,416236.635,327.5,347221.8225,377.25,504633.635,425.75,2270950.76,431.5,1757059.26,437.75,31320851.76,510.5,425165.635,876.75,5305262.76,1303.0,368721.01,1316.5,4063569.76,1756.0,2579546.01,2195.25,693534.885,2635.25,1297058.26,3516.0,667840.635
mallet_acoustic_062-102-075,102.0,5.0,0.0,108.0,92.0,102.0,102.0,102.0,64186.6015625,12028177.0,5923.0,63.75,274880.63625,2961.5,9289455.23,3230.25,6243435.73,4422.25,1978699.98,5439.75,498632.0425,5882.75,2862.722187499996,5883.5,5070.698749999996,5884.5,6560.847187499996,5923.0,11907895.23,5960.5,7860.964374999996,5961.5,4269.987812499996,5962.25,2784.019062499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
organ_electronic_104-055-075,55.0,6.0,1.0,55.0,52.0,54.0,55.0,55.0,117835.9375,483599744.0,196.0,185.5,168518.0599999996,186.5,950086.0599999996,187.5,2122021.5599999996,189.0,28612060.56,190.5,5000948.56,191.5,8030849.56,192.5,4252326.56,193.5,9266871.559999999,194.5,17662528.56,195.25,121597362.56,196.0,478763746.56,197.25,13324382.559999999,198.25,4666270.56,199.25,2854455.5599999996,200.25,5252420.56,201.5,3365331.0599999996,202.25,2318016.5599999996,203.0,25353406.56,204.25,1002398.0599999996,220.5,704253.5599999996,579.75,983378.5599999996,586.75,20191158.56,587.5,2053073.5599999996,588.25,12894330.559999999,589.25,968575.0599999996,593.75,813538.5599999996,594.5,414572.5599999996,3121.5,25335.05999999959,3130.0,8106306.56,3130.75,1032790.0599999996,3136.25,316024.5599999996,3142.75,3594024.5599999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guitar_acoustic_021-044-025,44.0,3.0,0.0,44.0,45.0,44.0,44.0,44.0,113120.3203125,180559456.0,103.0,42.25,1456353.69,68.5,98792.18999999994,69.5,78803.31499999994,70.5,61003.939999999944,71.5,45540.439999999944,72.5,32289.064999999944,73.5,21546.064999999944,74.5,13361.189999999944,75.5,8059.939999999944,76.5,5809.439999999944,77.5,7001.189999999944,78.5,11934.189999999944,79.5,21502.439999999944,80.5,35922.439999999944,81.5,56495.939999999944,82.5,83789.68999999994,83.5,119061.68999999994,84.5,163580.56499999994,85.5,218908.18999999994,86.5,286894.43999999994,103.0,178753861.44,111.5,365886.93999999994,112.75,70000.31499999994,206.0,71640845.44,309.0,18917523.44,409.75,52072.439999999944,412.0,18786719.44,515.0,4910630.4399999995,618.0,10215134.44,720.75,8000097.4399999995,824.25,13192972.44,1030.5,998354.69,1340.25,1829702.19,1650.25,2830492.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass_synthetic_033-097-127,97.0,0.0,2.0,97.0,92.0,97.0,97.0,97.0,77257.6953125,30433392.0,2216.75,26.75,185047.61125000002,2189.0,380972.2675,2192.75,859422.3300000001,2196.75,1945136.33,2200.75,5331993.58,2204.75,12069996.08,2208.5,9577624.08,2212.75,252485.08000000002,2215.0,4964004.58,2216.75,30129058.08,2217.25,750832.0800000001,2223.25,12735932.08,2225.25,1779866.08,2227.75,11824072.08,2229.75,3632286.08,2232.25,7873908.08,2234.5,2876860.08,2236.25,4207969.08,2238.75,1392306.08,2240.25,1295018.08,2243.25,182749.89250000002,4401.75,367097.6425,4405.75,536247.0800000001,4409.75,1867965.08,4422.5,1593607.205,4426.25,469378.205,4432.0,1122983.08,4435.0,9135251.08,4440.75,3529123.33,4445.0,2330440.58,4450.5,1124443.33,4453.0,404748.6425,4455.5,1307218.705,4457.5,768797.8300000001,4460.0,1194816.33,4462.0,249126.83000000002,4464.5,812476.8300000001,4466.75,401621.7675,4468.75,395491.58,4471.5,141224.89250000002,6611.0,59421.486250000016,6614.75,81525.92375000002,6626.5,92809.86125000002,6629.5,44523.892500000016,6637.75,174549.61125000002,6640.75,298093.8925,6650.0,2710199.58,6658.75,965603.5800000001,6663.25,264600.3925,6673.25,127688.64250000002
keyboard_electronic_098-094-075,94.0,4.0,1.0,94.0,77.0,94.0,94.0,94.0,70615.734375,24485508.0,1865.75,1626.75,106916.26374999998,1773.0,324.4512499999837,1865.75,24240652.92,1964.25,273.7324999999837,2103.5,321557.7325,3731.75,2144786.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guitar_electronic_022-057-025,57.0,3.0,1.0,57.0,54.0,57.0,57.0,57.0,85694.2890625,123298424.0,220.25,60.0,568674.01,220.25,122065439.76,221.75,581102.76,440.5,34824575.76,441.75,777519.01,660.25,1922854.26,880.0,3388592.26,881.5,1287435.76,882.25,37813.38500000001,1100.0,291970.76,1101.5,14168.26000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard_electronic_098-021-127,21.0,4.0,1.0,33.0,42.0,33.0,33.0,33.0,125801.71875,277607200.0,55.0,43.5,321441.25,51.25,1074962.25,52.25,3538822.5,53.5,7194410.0,54.5,13394908.0,55.0,274831128.0,56.25,6436938.0,57.25,2709759.5,58.5,424163.25,59.25,1196996.75,82.5,5837098.0,106.25,1117053.5,107.25,2544657.5,108.25,5315552.0,109.25,9140648.0,110.0,112983160.0,111.0,5670741.0,112.25,2687177.0,113.25,557714.5,136.75,2275452.5,137.5,22992476.0,161.25,325594.25,162.25,1173657.75,163.25,2907616.5,164.25,3087086.0,165.25,83820864.0,166.0,2430029.0,167.0,2448554.5,168.0,474424.5,190.75,551364.75,191.75,2576896.5,192.75,34767740.0,193.25,1138761.0,218.0,1020619.0,220.25,60628740.0,221.75,961524.0,246.5,1672301.0,247.75,38029740.0,249.0,270745.25,274.0,583273.0,275.25,34879468.0,301.5,354950.0,302.75,31624068.0,330.25,15444844.0,357.75,21402752.0,385.25,4227419.0,412.75,11887982.0,468.0,7397075.0,523.0,3788910.0,578.0,956447.0
keyboard_electronic_001-105-075,105.0,4.0,1.0,105.0,66.0,21.0,105.0,47.0,59796.49609375,3457641.75,3580.5,26.75,554310.5825,30.25,163463.129375,33.25,158081.410625,39.25,448187.9575,40.75,239492.30125,46.25,181393.52,49.75,214635.52,50.75,250158.77,52.0,165485.285625,53.0,178000.17625,58.75,238202.895,72.25,259745.67625,76.0,302147.7075,81.75,226104.17625,86.5,1276785.5825,87.5,242831.645,89.0,405472.92625,89.75,184921.2075,92.25,482331.52,93.5,334795.8325,94.75,225183.3325,95.75,167728.17625,97.0,186303.61375,100.25,163745.754375,105.75,426080.17625,109.25,209996.145,114.75,335104.27,120.0,300588.145,126.75,168805.410625,135.5,191501.52,150.0,563552.7075,167.25,178792.441875,194.75,155540.67625,292.25,189628.11375,358.5,276736.145,389.75,179804.30125,678.75,173178.691875,748.75,164567.410625,900.75,252285.55125,994.5,204712.67625,1048.75,414566.8325,1094.0,155880.598125,1130.25,686907.9575,1428.25,265981.3325,1568.75,155439.67625,1573.75,639955.145,1667.5,247524.5825,3575.5,178603.5825,3580.5,3423065.3325,3588.0,424440.5825
bass_synthetic_098-052-127,52.0,0.0,2.0,52.0,21.0,50.0,52.0,52.0,197298.59375,43807676.0,163.25,27.0,2037376.99,30.0,631918.865,32.25,505255.615,33.5,693747.74,35.25,1008112.865,36.0,649187.99,36.75,389775.8025,37.25,555885.99,37.75,328212.9275,38.5,526325.1775,39.0,1003940.24,41.25,828277.74,45.75,513731.1775,46.5,503804.3025,52.0,419618.24,56.0,506806.615,61.75,529628.5525,65.5,688549.99,69.0,355889.49,74.5,393129.4275,100.75,663624.74,104.0,321878.115,118.0,416485.365,122.75,320865.0525,127.75,625074.99,132.0,417311.8025,135.25,627648.99,147.5,772555.49,150.5,2324398.24,153.5,2058857.24,156.5,2796344.74,159.75,3301348.24,163.25,43369599.24,168.5,2656884.24,196.5,494076.4275,213.75,411711.615,328.0,7426057.74,339.0,523966.99,468.0,339022.3025,480.75,545360.99,492.0,6906250.24,656.5,4991380.74,821.0,940213.24,985.5,3209799.24,1314.75,1754879.24,1478.5,618362.74,1644.75,356198.74,1808.25,842056.115,2137.25,552977.5525,2467.5,445318.9275
organ_electronic_007-091-100,91.0,6.0,1.0,91.0,108.0,79.0,91.0,91.0,214687.921875,40791916.0,1597.5,794.5,10844548.84,1563.75,11646823.84,1572.25,26975230.84,1580.5,36960836.84,1589.0,16650806.84,1589.75,10335771.84,1597.5,40383996.84,1606.0,29977078.84,1614.5,12756906.84,3140.75,15817394.84,3144.25,14515538.84,3149.0,26736190.84,3152.75,16696108.84,3157.5,34494372.84,3166.0,17806960.84,3174.75,16648438.84,3181.75,14457184.84,3182.75,13005746.84,3183.25,30869972.84,3191.5,17104674.84,3200.0,19243850.84,3203.75,14031106.84,3208.5,38578208.84,3212.25,11353597.84,3217.0,32017898.84,3225.5,18164414.84,4767.25,12402307.84,6281.25,10929776.84,6289.75,19020876.84,6298.25,26696704.84,6306.75,27864912.84,6315.25,16129030.84,6332.25,21118724.84,6340.75,11481630.84,6349.25,12094615.84,6357.5,15814934.84,6362.0,10919116.84,6363.25,19057302.84,6370.0,10041057.84,6374.75,22065480.84,6376.75,13628526.84,6377.75,9690708.84,6383.25,13128959.84,6391.5,11202948.84,6400.0,19884258.84,6417.0,14636256.84,6425.5,26316056.84,6434.0,25891852.84,6442.5,19043730.84,6451.0,11390183.84
flute_acoustic_002-081-075,81.0,2.0,0.0,81.0,89.0,81.0,81.0,81.0,66364.5859375,91207840.0,880.25,861.75,211292.22499999998,868.5,180783.22499999998,870.75,346878.35,871.5,553281.1,872.75,1540810.35,874.75,2392584.1,875.75,1926005.6,877.0,2602537.6,878.5,4235812.6,879.75,5687449.6,880.25,90295761.6,881.25,15691026.6,882.75,1998185.6,883.5,6691099.6,884.0,5208141.6,884.75,3556214.1,885.5,6332280.6,886.25,3432939.6,887.5,662915.6,888.5,111874.78749999998,889.5,1340893.6,890.75,658717.35,891.75,219591.09999999998,892.75,306318.225,895.75,837801.725,903.75,140683.72499999998,1755.5,261689.34999999998,1756.0,761835.1,1758.0,544648.725,1760.0,6540026.1,1760.5,1924830.6,1762.25,1351950.35,1763.5,652000.1,1765.5,188637.97499999998,2635.5,677643.1,2637.5,410818.1,2639.25,7510449.6,2640.0,4680151.6,2641.0,1216081.85,2642.25,424198.475,2642.75,837487.975,2646.25,106553.09999999998,3512.5,325538.725,3517.0,260648.97499999998,3517.5,297899.475,3518.75,2322289.85,3519.75,6795639.6,3521.75,478698.1,4398.75,836295.475,4399.5,2611099.35
organ_electronic_007-069-075,69.0,6.0,1.0,81.0,96.0,57.0,69.0,69.0,318834.59375,77356616.0,887.0,221.5,11190257.84,434.25,19304299.84,442.75,76059377.84,451.25,22154409.84,870.0,14156067.84,877.25,16017455.84,878.5,46580649.84,887.0,76583049.84,894.0,18025285.84,895.5,44326049.84,904.0,13421371.84,1320.0,17529393.84,1328.5,11151029.84,1337.0,15730705.84,1748.5,19256805.84,1757.0,40805197.84,1762.75,10633362.84,1765.5,50515497.84,1771.25,13283943.84,1773.25,18001995.84,1774.25,27277533.84,1779.75,12547844.84,1782.5,48321017.84,1791.0,34386881.84,1799.25,18554627.84,2197.25,10563457.84,2231.0,12791622.84,2627.0,21157587.84,2635.5,38812161.84,2644.0,37487681.84,2657.0,16491547.84,2661.0,41666153.84,2673.75,10643681.84,2678.0,32154251.84,2682.25,10822182.84,2686.25,36669621.84,2694.75,23908193.84,2703.25,10718724.84,3074.25,11637925.84,3125.0,10570542.84,3505.5,15678646.84,3508.75,10670286.84,3514.0,24711137.84,3522.5,21482049.84,3539.5,21209687.84,3556.5,19713485.84,3573.25,20323505.84,3576.25,11886070.84,3581.75,25342899.84,3590.25,18007915.84
keyboard_electronic_001-024-127,24.0,4.0,1.0,43.0,64.0,36.0,66.0,36.0,75603.171875,35604464.0,96.75,32.25,502736.11,64.5,17129467.36,95.5,663746.36,96.75,35248419.36,129.0,17525833.36,161.5,12088336.36,194.0,4654562.36,227.25,4467979.36,293.0,3221205.86,326.25,11569889.36,359.5,21217225.36,393.25,9562363.36,427.0,9237517.36,461.25,2947921.86,495.25,3299143.86,530.5,1521551.7349999999,565.0,1252541.8599999999,600.25,3083053.36,635.5,1725110.9849999999,671.25,11721517.36,707.25,6788391.36,742.25,1075417.3599999999,743.75,10849412.36,752.75,533916.36,779.0,605493.9225,780.25,2897896.61,815.75,1318791.2349999999,853.75,468938.4225,888.25,558992.86,927.75,690987.1725,929.5,626708.0475,967.75,2758970.86,1006.75,1350326.3599999999,1043.25,585587.36,1046.0,6720990.36,1085.0,2489252.11,1121.75,542301.4225,1124.75,1664255.7349999999,1161.75,588701.4225,1165.0,2395069.11,1287.5,2278171.61,1329.25,1803059.8599999999,1371.5,443566.9225,1414.0,427116.2975,1449.75,567953.7975,1451.75,863666.485,1457.0,544801.4225,1725.75,777246.235,1772.25,871035.485,1819.0,732477.985
keyboard_electronic_078-070-127,70.0,4.0,1.0,70.0,76.0,70.0,70.0,70.0,103392.7578125,35773888.0,466.5,47.75,9651.401249999995,73.25,24822.276249999995,123.25,120704.58875,126.75,34314.463749999995,133.75,10905.369999999995,465.5,2503280.37,466.5,35416149.12,930.0,164662.37,932.75,1251243.12,934.25,18414523.12,1397.5,23491.932499999995,1398.0,181323.6825,1399.75,1486511.745,1402.0,2659449.12,1866.0,2649431.62,1867.25,5326622.12,1870.0,13886323.12,2331.25,16137.619999999995,2333.25,1197691.37,2335.0,3213896.12,2338.0,9121036.12,2800.0,9914.776249999995,2801.25,238485.12,2803.25,1208355.495,2806.75,1768383.37,3264.25,54258.619999999995,3265.75,82475.12,3267.0,177572.5575,3269.5,928758.62,3271.5,1628825.245,3275.25,4196538.62,3744.25,340076.4325,4210.0,40207.557499999995,4213.75,157914.9325,4684.0,534244.245,5154.5,466001.245,5616.25,94900.1825,5618.5,125659.3075,5621.0,234379.1825,5625.25,1296039.245,6086.0,70532.27625,6087.75,189136.6825,6090.0,165012.995,6092.75,525310.745,6097.0,1998259.62,6568.5,148853.8075,7038.0,126206.27625,7042.5,985684.62,7517.25,350246.5575,0.0,0.0
reed_acoustic_037-056-025,56.0,7.0,0.0,75.0,73.0,56.0,56.0,56.0,104465.6875,109480232.0,625.5,204.25,1041085.9299999999,207.75,8284495.68,208.5,51474957.68,212.25,644216.8049999999,407.75,419604.80499999993,411.0,2123190.1799999997,412.0,1270413.93,413.0,2288466.4299999997,415.5,6303057.68,417.0,99024389.68,422.25,710086.3049999999,425.75,496717.05499999993,613.25,1012480.6799999999,613.75,1647334.18,614.25,498361.30499999993,616.0,500988.42999999993,616.5,995366.6799999999,617.25,2788573.1799999997,619.0,1597472.18,619.5,894248.9299999999,620.75,3603809.6799999997,623.0,43368541.68,624.5,23571153.68,625.5,108385429.68,627.0,25252445.68,628.25,6850711.68,629.0,1550686.68,632.5,631249.9299999999,826.25,452979.17999999993,827.0,557924.1799999999,830.5,9302272.68,832.5,1135351.18,833.0,4695520.68,834.0,15429050.68,835.0,500007.17999999993,836.0,4245435.18,837.75,1059114.93,1038.25,3297691.1799999997,1040.75,688480.5549999999,1042.25,1579112.18,1044.75,925789.1799999999,1249.25,2733636.9299999997,1249.75,1103909.18,1251.0,3073837.4299999997,1456.75,729877.6799999999,1458.25,1517781.18,1459.25,5331689.68,1463.0,518002.55499999993,1668.0,1735824.68,1876.5,461992.92999999993
